Grupo de edad,Laboratorio,Fecha inmunización,1° Dosis,2° Dosis
40-49,Campaña SARS-CoV-2 (Pfizer),2020-12-24,56,56.0
40-49,Campaña SARS-CoV-2 (Pfizer),2020-12-25,790,785.0
40-49,Campaña SARS-CoV-2 (Pfizer),2020-12-26,515,512.0
40-49,Campaña SARS-CoV-2 (Pfizer),2020-12-27,55,53.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-04,72,72.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-05,234,234.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-06,34,34.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-14,404,402.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-15,171,169.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-16,3,3.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-18,1968,1957.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-19,3661,3646.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-20,1692,1682.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-21,610,608.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-22,76,73.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-25,3,3.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-01-26,1,1.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-05,3,3.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-08,2,2.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-09,15,15.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-10,14,14.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-11,25,24.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-12,36,36.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-18,1,1.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-22,1868,1853.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-23,4439,4418.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-24,19189,19078.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-25,19303,19168.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-26,6678,6574.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-02-27,1026,1019.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-01,1485,1469.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-02,2170,2138.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-03,1248,1228.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-04,811,795.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-05,732,717.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-06,64,64.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-07,16,15.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-08,758,753.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-09,2072,2040.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-10,2973,2950.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-11,4451,4405.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-12,7545,7496.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-13,130,129.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-15,7025,6980.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-16,10097,10006.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-17,6012,5955.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-18,3415,3370.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-19,1037,1017.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-20,66,65.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-22,2747,2717.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-23,10076,9965.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-24,8396,8265.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-25,7270,7153.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-26,4966,4859.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-27,407,397.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-29,2287,2250.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-30,4323,4236.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-03-31,3950,3866.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-01,1793,1758.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-02,37,37.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-03,58,58.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-05,2632,2586.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-06,6055,5901.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-07,6973,6765.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-08,6216,6024.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-09,6087,5951.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-10,1233,1198.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-11,107,107.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-12,23592,23249.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-13,26660,26207.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-14,35154,34537.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-15,21816,21311.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-16,14140,13722.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-17,1902,1842.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-18,169,163.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-19,2969,2859.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-20,1937,1858.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-21,1402,1314.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-22,3411,3295.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-23,1630,1581.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-24,385,367.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-26,12676,12414.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-27,17189,16699.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-28,19739,19251.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-29,10028,9621.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-04-30,13327,12711.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-01,194,182.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-02,190,177.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-03,6302,5981.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-04,6024,5632.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-05,4087,3801.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-06,3783,3452.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-07,4518,3903.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-08,1184,989.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-09,14,12.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-10,1089,919.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-11,1006,777.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-12,585,452.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-13,946,495.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-14,1534,87.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-15,25,1.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-17,4316,22.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-18,6502,6.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-19,7232,6.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-20,5513,2.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-21,644,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-22,1534,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-23,191,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-24,7457,1.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-25,10343,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-26,5870,1.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-27,4344,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-28,3735,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-29,1486,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-30,218,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-05-31,5863,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-01,8142,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-02,6092,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-03,4245,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-04,1986,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-05,413,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-06,48,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-07,581,0.0
40-49,Campaña SARS-CoV-2 (Pfizer),2021-06-08,708,0.0
