Region;Sexo;edad;Personas
1;1;0;3047
1;1;1;2993
1;1;2;2912
1;1;3;2860
1;1;4;2883
1;1;5;3092
1;1;6;3159
1;1;7;3145
1;1;8;3112
1;1;9;3121
1;1;10;3142
1;1;11;3082
1;1;12;3017
1;1;13;2859
1;1;14;2755
1;1;15;2672
1;1;16;2709
1;1;17;2726
1;1;18;2705
1;1;19;2755
1;1;20;2872
1;1;21;2992
1;1;22;3132
1;1;23;3269
1;1;24;3418
1;1;25;3567
1;1;26;3707
1;1;27;3823
1;1;28;3883
1;1;29;3921
1;1;30;3936
1;1;31;3863
1;1;32;3778
1;1;33;3600
1;1;34;3439
1;1;35;3304
1;1;36;3190
1;1;37;3159
1;1;38;3155
1;1;39;3119
1;1;40;3016
1;1;41;2907
1;1;42;2814
1;1;43;2760
1;1;44;2694
1;1;45;2626
1;1;46;2551
1;1;47;2482
1;1;48;2389
1;1;49;2307
1;1;50;2232
1;1;51;2140
1;1;52;2034
1;1;53;1964
1;1;54;1952
1;1;55;1947
1;1;56;1933
1;1;57;1924
1;1;58;1884
1;1;59;1802
1;1;60;1697
1;1;61;1594
1;1;62;1544
1;1;63;1516
1;1;64;1485
1;1;65;1442
1;1;66;1397
1;1;67;1300
1;1;68;1182
1;1;69;1067
1;1;70;959
1;1;71;863
1;1;72;779
1;1;73;712
1;1;74;640
1;1;75;570
1;1;76;523
1;1;77;462
1;1;78;414
1;1;79;376
1;1;80;336
1;1;81;307
1;1;82;280
1;1;83;249
1;1;84;220
1;1;85;188
1;1;86;161
1;1;87;144
1;1;88;125
1;1;89;108
1;1;90;95
1;1;91;79
1;1;92;65
1;1;93;50
1;1;94;36
1;1;95;26
1;1;96;19
1;1;97;14
1;1;98;8
1;1;99;6
1;1;100;8
1;2;0;2924
1;2;1;2866
1;2;2;2784
1;2;3;2741
1;2;4;2765
1;2;5;2967
1;2;6;3036
1;2;7;3024
1;2;8;3004
1;2;9;3019
1;2;10;3039
1;2;11;2987
1;2;12;2925
1;2;13;2773
1;2;14;2670
1;2;15;2579
1;2;16;2592
1;2;17;2587
1;2;18;2540
1;2;19;2579
1;2;20;2689
1;2;21;2819
1;2;22;2985
1;2;23;3150
1;2;24;3320
1;2;25;3502
1;2;26;3638
1;2;27;3735
1;2;28;3758
1;2;29;3762
1;2;30;3747
1;2;31;3661
1;2;32;3570
1;2;33;3402
1;2;34;3267
1;2;35;3170
1;2;36;3084
1;2;37;3065
1;2;38;3059
1;2;39;3011
1;2;40;2891
1;2;41;2760
1;2;42;2641
1;2;43;2589
1;2;44;2544
1;2;45;2501
1;2;46;2441
1;2;47;2395
1;2;48;2321
1;2;49;2262
1;2;50;2193
1;2;51;2126
1;2;52;2027
1;2;53;1964
1;2;54;1951
1;2;55;1931
1;2;56;1925
1;2;57;1915
1;2;58;1884
1;2;59;1817
1;2;60;1730
1;2;61;1636
1;2;62;1579
1;2;63;1556
1;2;64;1533
1;2;65;1490
1;2;66;1446
1;2;67;1365
1;2;68;1259
1;2;69;1161
1;2;70;1067
1;2;71;958
1;2;72;880
1;2;73;818
1;2;74;757
1;2;75;694
1;2;76;640
1;2;77;581
1;2;78;529
1;2;79;484
1;2;80;445
1;2;81;412
1;2;82;381
1;2;83;346
1;2;84;313
1;2;85;274
1;2;86;243
1;2;87;221
1;2;88;205
1;2;89;183
1;2;90;169
1;2;91;147
1;2;92;120
1;2;93;97
1;2;94;77
1;2;95;61
1;2;96;46
1;2;97;33
1;2;98;24
1;2;99;14
1;2;100;41
2;1;0;5063
2;1;1;4960
2;1;2;4779
2;1;3;4625
2;1;4;4640
2;1;5;5065
2;1;6;5263
2;1;7;5133
2;1;8;5136
2;1;9;5084
2;1;10;5175
2;1;11;5233
2;1;12;5221
2;1;13;5111
2;1;14;4957
2;1;15;4753
2;1;16;4752
2;1;17;4810
2;1;18;4938
2;1;19;5091
2;1;20;5289
2;1;21;5523
2;1;22;5795
2;1;23;6060
2;1;24;6350
2;1;25;6606
2;1;26;6821
2;1;27;6973
2;1;28;6993
2;1;29;7033
2;1;30;6992
2;1;31;6891
2;1;32;6701
2;1;33;6464
2;1;34;6210
2;1;35;5982
2;1;36;5865
2;1;37;5799
2;1;38;5707
2;1;39;5617
2;1;40;5475
2;1;41;5351
2;1;42;5268
2;1;43;5206
2;1;44;5177
2;1;45;5144
2;1;46;5086
2;1;47;4985
2;1;48;4753
2;1;49;4554
2;1;50;4371
2;1;51;4152
2;1;52;3968
2;1;53;3811
2;1;54;3713
2;1;55;3666
2;1;56;3645
2;1;57;3601
2;1;58;3535
2;1;59;3404
2;1;60;3237
2;1;61;3042
2;1;62;2881
2;1;63;2764
2;1;64;2681
2;1;65;2576
2;1;66;2446
2;1;67;2284
2;1;68;2119
2;1;69;1925
2;1;70;1720
2;1;71;1467
2;1;72;1258
2;1;73;1144
2;1;74;1021
2;1;75;887
2;1;76;783
2;1;77;704
2;1;78;619
2;1;79;554
2;1;80;507
2;1;81;457
2;1;82;402
2;1;83;352
2;1;84;302
2;1;85;261
2;1;86;225
2;1;87;199
2;1;88;177
2;1;89;157
2;1;90;140
2;1;91;118
2;1;92;96
2;1;93;74
2;1;94;53
2;1;95;38
2;1;96;23
2;1;97;14
2;1;98;10
2;1;99;6
2;1;100;9
2;2;0;4863
2;2;1;4735
2;2;2;4540
2;2;3;4406
2;2;4;4408
2;2;5;4801
2;2;6;4985
2;2;7;4846
2;2;8;4853
2;2;9;4810
