Region,Dosis,edad,accumulated_vaccinated,start_date
Total,Primera,15,0.0,2021-05-28
Total,Primera,16,0.0,2021-05-28
Total,Primera,17,0.0,2021-05-28
Total,Primera,18,39514.0,2021-05-28
Total,Primera,19,47245.0,2021-05-28
Total,Primera,20,53662.0,2021-05-28
Total,Primera,21,59640.0,2021-05-28
Total,Primera,22,68684.0,2021-05-28
Total,Primera,23,76956.0,2021-05-28
Total,Primera,24,85657.0,2021-05-28
Total,Primera,25,94103.0,2021-05-28
Total,Primera,26,157684.0,2021-05-28
Total,Primera,27,173239.0,2021-05-28
Total,Primera,28,181623.0,2021-05-28
Total,Primera,29,187915.0,2021-05-28
Total,Primera,30,207094.0,2021-05-28
Total,Primera,31,213648.0,2021-05-28
Total,Primera,32,211306.0,2021-05-28
Total,Primera,33,204836.0,2021-05-28
Total,Primera,34,199052.0,2021-05-28
Total,Primera,35,196559.0,2021-05-28
Total,Primera,36,193382.0,2021-05-28
Total,Primera,37,191765.0,2021-05-28
Total,Primera,38,201175.0,2021-05-28
Total,Primera,39,205982.0,2021-05-28
Total,Primera,40,197442.0,2021-05-28
Total,Primera,41,193946.0,2021-05-28
Total,Primera,42,187713.0,2021-05-28
Total,Primera,43,185172.0,2021-05-28
Total,Primera,44,187469.0,2021-05-28
Total,Primera,45,197358.0,2021-05-28
Total,Primera,46,202987.0,2021-05-28
Total,Primera,47,205677.0,2021-05-28
Total,Primera,48,208320.0,2021-05-28
Total,Primera,49,205271.0,2021-05-28
Total,Primera,50,201064.0,2021-05-28
Total,Primera,51,194879.0,2021-05-28
Total,Primera,52,200727.0,2021-05-28
Total,Primera,53,205119.0,2021-05-28
Total,Primera,54,206962.0,2021-05-28
Total,Primera,55,209224.0,2021-05-28
Total,Primera,56,209735.0,2021-05-28
Total,Primera,57,207999.0,2021-05-28
Total,Primera,58,208655.0,2021-05-28
Total,Primera,59,199953.0,2021-05-28
Total,Primera,60,199033.0,2021-05-28
Total,Primera,61,184427.0,2021-05-28
Total,Primera,62,179508.0,2021-05-28
Total,Primera,63,176298.0,2021-05-28
Total,Primera,64,168067.0,2021-05-28
Total,Primera,65,161590.0,2021-05-28
Total,Primera,66,148252.0,2021-05-28
Total,Primera,67,147227.0,2021-05-28
Total,Primera,68,135114.0,2021-05-28
Total,Primera,69,125884.0,2021-05-28
Total,Primera,70,119122.0,2021-05-28
Total,Primera,71,114576.0,2021-05-28
Total,Primera,72,110187.0,2021-05-28
Total,Primera,73,104300.0,2021-05-28
Total,Primera,74,98143.0,2021-05-28
Total,Primera,75,92590.0,2021-05-28
Total,Primera,76,87275.0,2021-05-28
Total,Primera,77,79323.0,2021-05-28
Total,Primera,78,74753.0,2021-05-28
Total,Primera,79,67969.0,2021-05-28
Total,Primera,80,483720.0,2021-05-28
Total,Segunda,15,0.0,2021-05-28
Total,Segunda,16,0.0,2021-05-28
Total,Segunda,17,0.0,2021-05-28
Total,Segunda,18,30055.0,2021-05-28
Total,Segunda,19,37512.0,2021-05-28
Total,Segunda,20,43335.0,2021-05-28
